Time,Well,OD600,Strain,Phage,malTmut,X777bpdel,Treatment
0,A3,0.112,D37-7,No,Yes,Yes,malT- 777del
300,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
600,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
900,A3,0.115,D37-7,No,Yes,Yes,malT- 777del
1201,A3,0.115,D37-7,No,Yes,Yes,malT- 777del
1500,A3,0.115,D37-7,No,Yes,Yes,malT- 777del
1801,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
2100,A3,0.115,D37-7,No,Yes,Yes,malT- 777del
2401,A3,0.115,D37-7,No,Yes,Yes,malT- 777del
2700,A3,0.115,D37-7,No,Yes,Yes,malT- 777del
3000,A3,0.115,D37-7,No,Yes,Yes,malT- 777del
3300,A3,0.115,D37-7,No,Yes,Yes,malT- 777del
3600,A3,0.115,D37-7,No,Yes,Yes,malT- 777del
3901,A3,0.115,D37-7,No,Yes,Yes,malT- 777del
4200,A3,0.115,D37-7,No,Yes,Yes,malT- 777del
4501,A3,0.115,D37-7,No,Yes,Yes,malT- 777del
4800,A3,0.115,D37-7,No,Yes,Yes,malT- 777del
5101,A3,0.115,D37-7,No,Yes,Yes,malT- 777del
5400,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
5700,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
6000,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
6300,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
6601,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
6900,A3,0.115,D37-7,No,Yes,Yes,malT- 777del
7201,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
7500,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
7801,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
8100,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
8400,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
8700,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
9000,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
9301,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
9600,A3,0.117,D37-7,No,Yes,Yes,malT- 777del
9901,A3,0.117,D37-7,No,Yes,Yes,malT- 777del
10200,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
10501,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
10800,A3,0.117,D37-7,No,Yes,Yes,malT- 777del
11100,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
11400,A3,0.116,D37-7,No,Yes,Yes,malT- 777del
11700,A3,0.117,D37-7,No,Yes,Yes,malT- 777del
12001,A3,0.117,D37-7,No,Yes,Yes,malT- 777del
12300,A3,0.117,D37-7,No,Yes,Yes,malT- 777del
12601,A3,0.117,D37-7,No,Yes,Yes,malT- 777del
12900,A3,0.117,D37-7,No,Yes,Yes,malT- 777del
13201,A3,0.117,D37-7,No,Yes,Yes,malT- 777del
13500,A3,0.117,D37-7,No,Yes,Yes,malT- 777del
13800,A3,0.117,D37-7,No,Yes,Yes,malT- 777del
14100,A3,0.117,D37-7,No,Yes,Yes,malT- 777del
14400,A3,0.118,D37-7,No,Yes,Yes,malT- 777del
14701,A3,0.118,D37-7,No,Yes,Yes,malT- 777del
15000,A3,0.117,D37-7,No,Yes,Yes,malT- 777del
15301,A3,0.117,D37-7,No,Yes,Yes,malT- 777del
15600,A3,0.117,D37-7,No,Yes,Yes,malT- 777del
15901,A3,0.118,D37-7,No,Yes,Yes,malT- 777del
16200,A3,0.117,D37-7,No,Yes,Yes,malT- 777del
16500,A3,0.117,D37-7,No,Yes,Yes,malT- 777del
16800,A3,0.118,D37-7,No,Yes,Yes,malT- 777del
17100,A3,0.118,D37-7,No,Yes,Yes,malT- 777del
17401,A3,0.118,D37-7,No,Yes,Yes,malT- 777del
17700,A3,0.118,D37-7,No,Yes,Yes,malT- 777del
18001,A3,0.118,D37-7,No,Yes,Yes,malT- 777del
18300,A3,0.118,D37-7,No,Yes,Yes,malT- 777del
18601,A3,0.118,D37-7,No,Yes,Yes,malT- 777del
18900,A3,0.118,D37-7,No,Yes,Yes,malT- 777del
19200,A3,0.118,D37-7,No,Yes,Yes,malT- 777del
19500,A3,0.119,D37-7,No,Yes,Yes,malT- 777del
19800,A3,0.119,D37-7,No,Yes,Yes,malT- 777del
20101,A3,0.118,D37-7,No,Yes,Yes,malT- 777del
20400,A3,0.118,D37-7,No,Yes,Yes,malT- 777del
20701,A3,0.12,D37-7,No,Yes,Yes,malT- 777del
21000,A3,0.119,D37-7,No,Yes,Yes,malT- 777del
21301,A3,0.12,D37-7,No,Yes,Yes,malT- 777del
21600,A3,0.12,D37-7,No,Yes,Yes,malT- 777del
21900,A3,0.12,D37-7,No,Yes,Yes,malT- 777del
22200,A3,0.121,D37-7,No,Yes,Yes,malT- 777del
22500,A3,0.121,D37-7,No,Yes,Yes,malT- 777del
22801,A3,0.121,D37-7,No,Yes,Yes,malT- 777del
23100,A3,0.122,D37-7,No,Yes,Yes,malT- 777del
23401,A3,0.122,D37-7,No,Yes,Yes,malT- 777del
23700,A3,0.123,D37-7,No,Yes,Yes,malT- 777del
24001,A3,0.124,D37-7,No,Yes,Yes,malT- 777del
24300,A3,0.124,D37-7,No,Yes,Yes,malT- 777del
24600,A3,0.127,D37-7,No,Yes,Yes,malT- 777del
24900,A3,0.128,D37-7,No,Yes,Yes,malT- 777del
25200,A3,0.129,D37-7,No,Yes,Yes,malT- 777del
25501,A3,0.129,D37-7,No,Yes,Yes,malT- 777del
25800,A3,0.133,D37-7,No,Yes,Yes,malT- 777del
26101,A3,0.135,D37-7,No,Yes,Yes,malT- 777del
26400,A3,0.138,D37-7,No,Yes,Yes,malT- 777del
26701,A3,0.142,D37-7,No,Yes,Yes,malT- 777del
27000,A3,0.145,D37-7,No,Yes,Yes,malT- 777del
27300,A3,0.149,D37-7,No,Yes,Yes,malT- 777del
27600,A3,0.155,D37-7,No,Yes,Yes,malT- 777del
27900,A3,0.161,D37-7,No,Yes,Yes,malT- 777del
28201,A3,0.166,D37-7,No,Yes,Yes,malT- 777del
28500,A3,0.174,D37-7,No,Yes,Yes,malT- 777del
28801,A3,0.179,D37-7,No,Yes,Yes,malT- 777del
29100,A3,0.185,D37-7,No,Yes,Yes,malT- 777del
29401,A3,0.192,D37-7,No,Yes,Yes,malT- 777del
29700,A3,0.2,D37-7,No,Yes,Yes,malT- 777del
30000,A3,0.209,D37-7,No,Yes,Yes,malT- 777del
30300,A3,0.217,D37-7,No,Yes,Yes,malT- 777del
30600,A3,0.227,D37-7,No,Yes,Yes,malT- 777del
30901,A3,0.237,D37-7,No,Yes,Yes,malT- 777del
31200,A3,0.248,D37-7,No,Yes,Yes,malT- 777del
31501,A3,0.258,D37-7,No,Yes,Yes,malT- 777del
31800,A3,0.27,D37-7,No,Yes,Yes,malT- 777del
32101,A3,0.282,D37-7,No,Yes,Yes,malT- 777del
32400,A3,0.294,D37-7,No,Yes,Yes,malT- 777del
32700,A3,0.307,D37-7,No,Yes,Yes,malT- 777del
33000,A3,0.32,D37-7,No,Yes,Yes,malT- 777del
33300,A3,0.331,D37-7,No,Yes,Yes,malT- 777del
33601,A3,0.34,D37-7,No,Yes,Yes,malT- 777del
33900,A3,0.35,D37-7,No,Yes,Yes,malT- 777del
34201,A3,0.361,D37-7,No,Yes,Yes,malT- 777del
34500,A3,0.375,D37-7,No,Yes,Yes,malT- 777del
34801,A3,0.387,D37-7,No,Yes,Yes,malT- 777del
35100,A3,0.402,D37-7,No,Yes,Yes,malT- 777del
35400,A3,0.416,D37-7,No,Yes,Yes,malT- 777del
35700,A3,0.429,D37-7,No,Yes,Yes,malT- 777del
36000,A3,0.439,D37-7,No,Yes,Yes,malT- 777del
36301,A3,0.449,D37-7,No,Yes,Yes,malT- 777del
36600,A3,0.456,D37-7,No,Yes,Yes,malT- 777del
36901,A3,0.465,D37-7,No,Yes,Yes,malT- 777del
37200,A3,0.471,D37-7,No,Yes,Yes,malT- 777del
